#{"env_id": null, "t_start": 1589010681.6361809}
r,l,t,score
181,543,8526.444003,181
216,1070,8543.189126,216
309,1275,8789.349005,309
214,829,8802.013814,214
180,831,8815.380896,180
264,438,8821.876829,264
48,246,8825.83692,48
0,66,8826.589019,0
119,855,8840.20161,119
191,487,8847.916649,191
135,260,8852.095541,135
195,439,8858.689764,195
257,566,8867.949179,257
205,739,8879.460234,205
214,521,8887.485004,214
204,563,8895.929108,204
211,759,8907.67669,211
193,1452,8930.108275,193
157,603,8939.761432,157
203,618,8949.477509,203
71,118,8951.373335,71
104,410,8957.875566,104
201,1303,8978.010535,201
73,241,8981.89502,73
180,634,8991.700242,180
206,603,9001.304862,206
217,535,9009.542671,217
163,375,9015.52187,163
210,445,9022.080321,210
192,365,9027.873689,192
237,1581,9051.664409,237
193,1047,9068.471986,193
218,621,9078.20288,218
280,691,9088.622576,280
171,224,9092.18179,171
81,428,9098.74168,81
42,883,9112.593715,42
34,119,9114.484298,34
33,537,9122.43646,33
214,751,9133.709047,214
206,516,9141.353731,206
238,625,9150.775216,238
31,282,9154.957017,31
229,999,9169.997723,229
52,504,9177.63332,52
194,555,9185.877252,194
36,1132,9203.205548,36
19,115,9205.008253,19
12,34,9205.408231,12
38,285,9209.566796,38
105,491,9217.060362,105
160,761,9228.417774,160
224,1573,9251.174166,224
173,780,9263.341123,173
210,1079,9279.235481,210
116,749,9290.557202,116
160,993,9305.639597,160
238,794,9316.941344,238
190,383,9322.893624,190
189,477,9329.84691,189
212,759,9341.487154,212
198,403,9348.220847,198
217,1033,9364.152095,217
277,966,9378.5388,277
212,573,9387.656628,212
97,723,9398.362286,97
104,964,9413.739442,104
3,34,9414.085965,3
14,177,9416.618486,14
13,78,9418.106142,13
52,312,9423.486246,52
199,693,9433.961085,199
210,579,9442.656897,210
196,408,9449.428246,196
231,1237,9467.757589,231
105,222,9471.485677,105
12,75,9472.93829,12
12,40,9473.368444,12
21,253,9477.412317,21
19,917,9491.681802,19
165,345,9497.256946,165
159,645,9506.510745,159
192,2463,9538.540883,192
143,554,9545.754562,143
136,378,9550.731863,136
233,1373,9569.513427,233
207,995,9584.794804,207
259,676,9595.036082,259
171,715,9606.166496,171
204,462,9612.892365,204
174,323,9618.054668,174
90,321,9622.617064,90
246,653,9632.3912,246
230,1165,9650.681609,230
201,406,9656.496758,201
196,642,9666.3432,196
231,425,9672.835868,231
264,526,9680.908327,264
153,471,9688.554163,153
170,318,9693.215106,170
240,1481,9715.69394,240
49,1293,9736.019496,49
13,130,9738.043278,13
4,149,9740.280663,4
2,83,9741.893013,2
1,41,9742.372387,1
3,294,9746.924549,3
4,216,9750.51251,4
