#{"env_id": null, "t_start": 1593475393.4799285}
r,l,t,score,ghosts,win,d
-8,446,2585.495083,142,2,0,0
52,969,2594.851506,202,1,0,0
46,292,2597.600418,196,1,0,0
213,614,2603.738518,363,2,0,0
89,216,2605.713094,239,4,0,0
231,1068,2616.343098,381,3,0,0
71,405,2620.298586,221,1,0,0
-89,160,2621.917851,61,3,0,0
-48,210,2624.20398,102,3,0,0
87,1659,2639.951824,237,1,0,0
91,453,2644.238287,241,3,0,0
-23,259,2646.912038,127,2,0,0
105,509,2652.020926,255,4,0,0
166,451,2656.652057,316,3,0,0
-1,170,2658.254066,149,4,0,0
58,477,2663.290642,208,2,0,0
-32,221,2665.584671,118,2,0,0
-4,234,2667.595958,146,3,0,0
148,1208,2679.381742,298,2,0,0
117,687,2685.755039,267,2,0,0
42,248,2688.246675,192,4,0,0
193,294,2691.10969,343,4,0,0
61,405,2695.37953,211,2,0,0
86,335,2698.623404,236,3,0,0
83,253,2701.140669,233,4,0,0
66,497,2706.078432,216,4,0,0
108,493,2711.049926,258,2,0,0
134,1633,2726.212628,284,1,0,0
89,668,2732.63156,239,1,0,0
86,250,2734.999533,236,2,0,0
113,351,2738.585691,263,3,0,0
203,324,2741.725549,353,4,0,0
142,482,2746.762284,292,4,0,0
137,689,2752.936867,287,1,0,0
137,977,2762.209446,287,2,0,0
233,233,2764.50173,383,4,0,0
49,396,2768.446722,199,3,0,0
69,440,2772.616868,219,3,0,0
78,903,2781.112486,228,2,0,0
33,1037,2790.933353,183,1,0,0
75,450,2795.349751,225,2,0,0
94,342,2798.792403,244,2,0,0
105,476,2803.388036,255,4,0,0
87,840,2811.405994,237,1,0,0
82,905,2820.06363,232,1,0,0
253,330,2823.13765,403,4,0,0
154,546,2828.858851,304,3,0,0
126,247,2831.444337,276,4,0,0
104,418,2835.341917,254,2,0,0
503,1693,2851.200254,603,2,1,0
115,398,2855.109655,265,2,0,0
189,278,2857.90685,339,4,0,0
130,787,2865.660855,280,2,0,0
17,745,2872.978085,167,3,0,0
-56,181,2875.106848,94,4,0,0
113,398,2878.880419,263,3,0,0
35,293,2881.839186,185,2,0,0
60,487,2886.857552,210,3,0,0
179,219,2889.193104,329,4,0,0
640,756,2896.459962,740,2,1,0
72,1239,2908.274356,222,1,0,0
65,511,2913.540249,215,4,0,0
79,615,2919.677629,229,2,0,0
150,303,2922.966708,300,3,0,0
57,682,2929.676789,207,2,0,0
284,346,2933.37205,434,4,0,0
159,228,2935.510169,309,4,0,0
78,632,2941.39291,228,2,0,0
255,265,2944.035418,405,4,0,0
180,402,2947.889467,330,3,0,0
185,432,2952.281508,335,2,0,0
151,301,2955.263773,301,4,0,0
82,519,2960.207843,232,2,0,0
68,452,2964.770092,218,1,0,0
155,523,2969.855937,305,2,0,0
211,484,2974.678672,361,2,0,0
99,307,2977.648775,249,4,0,0
84,1037,2987.089973,234,1,0,0
214,698,2994.152561,364,3,0,0
90,1320,3006.186868,240,2,0,0
54,309,3009.245352,204,4,0,0
-31,175,3011.153009,119,2,0,0
54,220,3013.140097,204,2,0,0
159,398,3017.260368,309,2,0,0
79,679,3023.495454,229,1,0,0
90,976,3032.526152,240,1,0,0
31,289,3035.837471,181,2,0,0
138,992,3044.488685,288,1,0,0
95,350,3048.100217,245,4,0,0
112,454,3052.692523,262,3,0,0
198,523,3057.603537,348,3,0,0
149,613,3063.91717,299,3,0,0
184,868,3072.159143,334,3,0,0
123,631,3078.313589,273,2,0,0
57,297,3081.652264,207,4,0,0
120,474,3085.955046,270,1,0,0
120,613,3091.932475,270,2,0,0
-8,239,3094.345711,142,1,0,0
78,293,3097.373047,228,3,0,0
241,1398,3110.098277,391,1,0,0
108,1093,3120.810932,258,1,0,0
-48,123,3122.140348,102,3,0,0
80,208,3124.111286,230,4,0,0
-55,119,3125.345681,95,4,0,0
9,167,3127.352439,159,4,0,0
91,1195,3138.222528,241,1,0,0
-13,206,3140.473969,137,4,0,0
157,306,3143.489805,307,4,0,0
90,710,3149.897177,240,1,0,0
167,406,3154.139874,317,3,0,0
266,344,3157.19695,416,2,0,0
92,204,3159.433987,242,3,0,0
-52,183,3161.145092,98,4,0,0
233,592,3166.987207,383,3,0,0
141,289,3169.812362,291,4,0,0
46,358,3173.47655,196,3,0,0
74,423,3177.410293,224,2,0,0
2,142,3178.945982,152,3,0,0
114,399,3183.337929,264,4,0,0
61,333,3186.458792,211,2,0,0
48,134,3187.882797,198,4,0,0
48,268,3190.347743,198,2,0,0
91,1575,3205.174526,241,1,0,0
34,216,3207.135666,184,3,0,0
153,399,3211.071587,303,3,0,0
88,1212,3222.469386,238,1,0,0
91,1109,3232.961526,241,1,0,0
141,2999,3259.821359,241,1,0,0
121,400,3263.87624,271,4,0,0
141,2852,3289.782608,291,1,0,0
95,385,3293.803822,245,4,0,0
138,246,3296.211639,288,3,0,0
137,274,3299.048748,287,4,0,0
80,2001,3317.269822,230,1,0,0
17,454,3322.068279,167,2,0,0
177,519,3327.263518,327,3,0,0
124,1025,3336.803714,274,1,0,0
86,622,3342.506622,236,1,0,0
153,515,3347.657844,303,3,0,0
117,197,3349.457704,267,4,0,0
79,385,3353.080338,229,2,0,0
89,328,3356.523012,239,2,0,0
133,1544,3370.608235,283,1,0,0
117,831,3378.330216,267,1,0,0
70,194,3380.433617,220,3,0,0
55,311,3383.412435,205,4,0,0
115,422,3387.435296,265,2,0,0
164,425,3391.574805,314,1,0,0
194,269,3394.193765,344,3,0,0
173,460,3398.540159,323,4,0,0
185,646,3405.337735,335,3,0,0
18,336,3408.657429,168,3,0,0
189,444,3413.091606,339,3,0,0
179,407,3417.078715,329,3,0,0
124,400,3421.048343,274,3,0,0
309,417,3425.101883,459,4,0,0
145,297,3428.363826,295,4,0,0
93,275,3430.96094,243,3,0,0
167,384,3434.667722,317,2,0,0
107,403,3438.747262,257,4,0,0
-84,75,3439.320104,66,4,0,0
163,354,3443.068031,313,4,0,0
157,499,3447.9253,307,2,0,0
-43,153,3449.462246,107,2,0,0
126,2999,3476.92572,226,1,0,0
140,682,3483.166158,290,1,0,0
29,316,3486.127014,179,3,0,0
64,510,3491.188707,214,1,0,0
-26,166,3493.218175,124,4,0,0
90,921,3501.661685,240,1,0,0
274,435,3505.905745,424,4,0,0
66,403,3510.171598,216,3,0,0
-24,415,3514.151812,126,2,0,0
-68,221,3516.265694,82,3,0,0
19,307,3519.699245,169,4,0,0
51,521,3524.723643,201,1,0,0
74,372,3528.505617,224,3,0,0
142,185,3530.224056,292,3,0,0
48,628,3536.590632,198,2,0,0
92,902,3545.608821,242,3,0,0
85,285,3548.29896,235,2,0,0
90,1028,3558.265309,240,1,0,0
135,560,3563.56899,285,2,0,0
127,664,3569.775192,277,1,0,0
118,874,3578.631184,268,2,0,0
21,1070,3588.942473,171,2,0,0
114,325,3592.479227,264,4,0,0
45,163,3594.075546,195,3,0,0
129,741,3601.073985,279,1,0,0
219,437,3605.206318,369,4,0,0
137,1117,3615.599931,287,1,0,0
154,327,3618.844568,304,2,0,0
85,603,3624.47819,235,1,0,0
148,310,3627.908613,298,4,0,0
137,764,3634.991853,287,2,0,0
88,649,3640.928903,238,1,0,0
207,349,3644.106977,357,4,0,0
257,265,3647.036682,407,4,0,0
105,365,3650.319697,255,1,0,0
124,335,3653.798858,274,3,0,0
79,418,3657.88517,229,3,0,0
69,260,3660.568706,219,3,0,0
175,350,3664.198676,325,3,0,0
92,404,3668.128503,242,3,0,0
140,1022,3677.490977,290,1,0,0
13,378,3681.293625,163,2,0,0
238,910,3689.971449,388,2,0,0
139,227,3692.43709,289,4,0,0
146,265,3695.080005,296,4,0,0
-13,134,3696.426528,137,4,0,0
66,286,3699.207323,216,2,0,0
59,287,3702.249053,209,1,0,0
128,1060,3712.385475,278,3,0,0
78,622,3718.250998,228,1,0,0
81,700,3724.901531,231,2,0,0
111,335,3728.438849,261,3,0,0
125,159,3729.995061,275,4,0,0
187,2999,3757.198379,237,1,0,0
71,457,3761.780018,221,2,0,0
189,275,3764.45963,339,2,0,0
131,410,3768.497264,281,3,0,0
115,650,3774.691166,265,3,0,0
