#{"t_start": 1608296931.5065482, "env_id": null}
r,l,t,score,ghosts,level,win,d,map
706.0,253,1760.474552,759,4,1,1,0,data/map2.bmp
186.5,325,1764.779263,337,4,0,0,0,data/map1.bmp
896.0,425,1770.500015,1006,4,2,1,0,data/map1.bmp
903.5,426,1776.502714,956,2,2,1,0,data/map1.bmp
234.5,401,1781.923713,391,4,1,0,0,data/map1.bmp
853.0,359,1786.81688,970,2,2,1,0,data/map1.bmp
140.5,298,1790.745948,299,4,1,0,0,data/map2.bmp
825.0,319,1795.004776,878,4,1,1,0,data/map1.bmp
332.5,342,1799.92115,488,4,1,0,0,data/map1.bmp
711.5,353,1804.612468,739,1,1,1,0,data/map2.bmp
108.5,378,1809.86134,290,4,0,0,0,data/map1.bmp
1069.0,353,1814.659265,1171,2,2,1,0,data/map1.bmp
970.0,343,1818.961707,1023,2,2,1,0,data/map1.bmp
41.0,315,1823.411059,203,4,0,0,0,data/map2.bmp
869.0,353,1828.358789,921,4,1,1,0,data/map1.bmp
99.0,359,1832.772297,259,4,1,0,0,data/map2.bmp
287.0,329,1837.50051,439,4,1,0,0,data/map1.bmp
880,305,1841.531805,930,2,2,1,0,data/map1.bmp
340.0,366,1846.628218,491,4,1,0,0,data/map1.bmp
753.0,435,1852.750972,854,4,0,1,0,data/map1.bmp
108.5,327,1856.843795,259,4,2,0,0,data/map2.bmp
762,236,1859.96897,762,1,1,1,0,data/map2.bmp
749.0,293,1863.795515,801,4,0,1,0,data/map2.bmp
814.0,732,1873.756403,845,4,0,1,0,data/map1.bmp
754.5,271,1877.171613,755,1,1,1,0,data/map2.bmp
1214.0,359,1882.167016,1270,4,2,1,0,data/map1.bmp
154.5,315,1886.156569,308,4,2,0,0,data/map2.bmp
1172.0,325,1890.803355,1226,4,2,1,0,data/map1.bmp
699,301,1894.500227,749,1,1,1,0,data/map2.bmp
1015.0,366,1899.786405,1068,4,1,1,0,data/map1.bmp
187.5,411,1905.2437,338,4,1,0,0,data/map1.bmp
966.0,355,1910.235234,1020,4,2,1,0,data/map1.bmp
875.5,321,1914.839917,927,4,1,1,0,data/map1.bmp
755.0,268,1918.276924,756,2,1,1,0,data/map2.bmp
683.0,307,1922.162854,748,4,0,1,0,data/map2.bmp
753,282,1925.720698,753,1,1,1,0,data/map2.bmp
756,265,1929.224388,806,4,2,1,0,data/map2.bmp
803.0,276,1932.403746,804,1,1,1,0,data/map2.bmp
755.0,269,1936.204976,806,1,1,1,0,data/map2.bmp
57.0,299,1939.891267,208,2,1,0,0,data/map2.bmp
427.5,356,1944.83916,578,4,2,0,0,data/map1.bmp
884.5,284,1948.667933,885,4,0,1,0,data/map1.bmp
831.0,298,1952.507969,832,1,1,1,0,data/map1.bmp
646.0,295,1956.732491,750,4,2,1,0,data/map2.bmp
437,348,1961.239198,587,4,2,0,0,data/map1.bmp
759,254,1964.510718,809,2,1,1,0,data/map2.bmp
254.0,462,1971.016379,440,4,1,0,0,data/map1.bmp
983.5,288,1974.835936,984,2,2,1,0,data/map1.bmp
802,287,1978.543585,852,4,2,1,0,data/map2.bmp
838,265,1982.077188,838,1,1,1,0,data/map1.bmp
747,310,1986.38705,797,4,0,1,0,data/map2.bmp
370.5,138,1988.293895,522,4,2,0,0,data/map1.bmp
151.0,261,1991.697894,302,4,2,0,0,data/map2.bmp
807,260,1994.966519,807,1,1,1,0,data/map2.bmp
974.5,330,1999.548607,975,4,0,1,0,data/map1.bmp
762,236,2002.216856,762,1,1,1,0,data/map2.bmp
589.5,338,2007.03493,741,4,2,0,0,data/map1.bmp
710.5,344,2011.785953,773,1,1,1,0,data/map1.bmp
805.0,347,2016.206532,922,4,1,1,0,data/map1.bmp
432.0,387,2021.469869,589,4,1,0,0,data/map1.bmp
857,263,2025.309062,907,4,1,1,0,data/map2.bmp
809,253,2028.589602,809,2,1,1,0,data/map2.bmp
704.0,272,2032.086223,755,2,1,1,0,data/map2.bmp
694.0,321,2036.132511,795,4,0,1,0,data/map2.bmp
810.5,242,2039.283453,811,1,1,1,0,data/map2.bmp
693.0,538,2046.261576,802,4,1,1,0,data/map2.bmp
707,264,2049.628168,757,2,1,1,0,data/map2.bmp
826.5,320,2054.185647,877,4,0,1,0,data/map1.bmp
889.5,335,2058.357239,942,4,2,1,0,data/map2.bmp
251.0,234,2061.753711,402,4,2,0,0,data/map1.bmp
742,338,2066.229703,792,2,1,1,0,data/map2.bmp
855.5,408,2071.61904,860,2,2,1,0,data/map1.bmp
801,450,2077.648199,801,1,1,1,0,data/map1.bmp
757,263,2080.992776,757,1,1,1,0,data/map2.bmp
781.5,293,2084.77971,783,1,1,1,0,data/map1.bmp
692.5,301,2088.608554,799,4,1,1,0,data/map2.bmp
693.5,321,2093.070679,795,4,2,1,0,data/map2.bmp
699.5,296,2096.905627,750,4,1,1,0,data/map2.bmp
